,-69
12986315,15,-67
12986316,43,-84
12986317,43,-86
12986318,43,-88
12986319,43,-74
12986320,43,-92
12986321,80,-79
12986322,15,-83
12986323,15,-65
12986324,15,-83
12986325,43,-70
12986326,43,-76
12986327,43,-83
12986328,80,-95
12986329,15,-77
12986330,15,-78
12986331,43,-77
12986332,43,-82
12986333,43,-83
12986334,80,-84
12986335,15,-80
12986336,15,-80
12986337,15,-82
12986338,43,-78
12986339,43,-84
12986340,43,-93
12986341,43,-86
12986342,43,-89
12986343,80,-94
12986344,80,-89
12986345,15,-82
12986346,15,-63
12986347,43,-87
12986348,43,-79
12986349,43,-94
12986350,43,-82
12986351,80,-88
12986352,15,-62
12986353,15,-88
12986354,15,-93
12986355,15,-65
12986356,43,-75
12986357,43,-83
12986358,43,-73
12986359,80,-94
12986360,15,-67
12986361,15,-79
12986362,43,-73
12986363,43,-75
12986364,80,-83
12986365,80,-101
12986366,15,-93
12986367,15,-65
12986368,15,-92
12986369,43,-95
12986370,43,-91
12986371,43,-98
12986372,43,-72
12986373,80,-91
12986374,15,-65
12986375,43,-86
12986376,43,-76
12986377,43,-88
12986378,80,-83
12986379,80,-77
12986380,15,-92
12986381,15,-81
12986382,15,-81
12986383,43,-68
12986384,43,-85
12986385,43,-78
12986386,80,-80
12986387,15,-78
12986388,43,-69
12986389,43,-93
12986390,43,-85
12986391,43,-90
12986392,43,-81
12986393,80,-88
12986394,15,-83
12986395,15,-94
12986396,43,-83
12986397,43,-89
12986398,43,-76
12986399,80,-97
12986400,80,-81
12986401,80,-90
12986402,15,-70
12986403,15,-79
12986404,43,-86
12986405,43,-91
12986406,43,-84
12986407,80,-81
12986408,15,-84
12986409,43,-69
12986410,43,-94
12986411,43,-72
12986412,43,-71
12986413,80,-95
12986414,15,-68
12986415,15,-67
12986416,43,-85
12986417,43,-88
12986418,43,-82
12986419,15,-65
12986420,15,-97
12986421,15,-77
12986422,15,-84
12986423,43,-79
12986424,43,-69
12986425,43,-88
12986426,80,-84
12986427,80,-89
12986428,15,-68
12986429,15,-82
12986430,43,-86
12986431,43,-81
12986432,43,-92
12986433,43,-87
12986434,43,-83
12986435,80,-97
12986436,15,-95
12986437,15,-87
12986438,15,-76
12986439,15,-65
12986440,43,-77
12986441,43,-93
12986442,43,-87
12986443,43,-85
12986444,80,-90
12986445,15,-78
12986446,15,-81
12986447,43,-96
12986448,43,-73
12986449,43,-87
12986450,43,-83
12986451,15,-62
12986452,15,-86
12986453,15,-79
12986454,43,-74
12986455,43,-81
12986456,43,-75
12986457,80,-97
12986458,15,-79
12986459,15,-71
12986460,43,-90
12986461,43,-72
12986462,43,-79
12986463,15,-79
12986464,15,-84
12986465,15,-63
12986466,43,-76
12986467,80,-78
12986468,15,-83
12986469,15,-66
12986470,43,-89
12986471,43,-81
12986472,43,-92
12986473,15,-81
