,-76
12837633,39,-89
12837634,39,-54
12837635,39,-91
12837636,39,-80
12837637,39,-79
12837638,93,-77
12837639,93,-88
12837640,93,-57
12837641,6,-77
12837642,6,-93
12837643,6,-88
12837644,6,-81
12837645,39,-84
12837646,39,-87
12837647,39,-97
12837648,39,-89
12837649,39,-87
12837650,15,-61
12837651,15,-96
12837652,39,-74
12837653,39,-74
12837654,39,-67
12837655,39,-83
12837656,39,-78
12837657,39,-78
12837658,39,-67
12837659,93,-83
12837660,93,-85
12837661,93,-52
12837662,93,-95
12837663,6,-85
12837664,6,-99
12837665,6,-75
12837666,15,-80
12837667,39,-85
12837668,39,-76
12837669,39,-62
12837670,39,-65
12837671,39,-82
12837672,39,-72
12837673,93,-76
12837674,93,-78
12837675,6,-93
12837676,6,-85
12837677,6,-73
12837678,6,-86
12837679,15,-70
12837680,15,-94
12837681,39,-74
12837682,39,-89
12837683,39,-63
12837684,39,-76
12837685,39,-76
12837686,93,-96
12837687,6,-89
12837688,6,-83
12837689,6,-76
12837690,15,-81
12837691,39,-82
12837692,39,-68
12837693,39,-78
12837694,39,-80
12837695,39,-60
12837696,39,-81
12837697,39,-77
12837698,39,-77
12837699,39,-89
12837700,93,-83
12837701,93,-92
12837702,6,-92
12837703,6,-83
12837704,15,-73
12837705,39,-56
12837706,39,-77
12837707,39,-71
12837708,39,-76
12837709,39,-67
12837710,39,-100
12837711,39,-89
12837712,39,-61
12837713,39,-95
12837714,93,-78
12837715,93,-71
12837716,93,-81
12837717,6,-104
12837718,6,-91
12837719,15,-86
12837720,15,-61
12837721,15,-89
12837722,39,-79
12837723,39,-75
12837724,39,-77
12837725,39,-61
12837726,39,-97
12837727,39,-77
12837728,93,-67
12837729,93,-65
12837730,93,-96
12837731,39,-84
12837732,6,-72
12837733,6,-89
12837734,6,-86
12837735,15,-89
12837736,39,-81
12837737,39,-58
12837738,39,-73
12837739,39,-79
12837740,39,-77
12837741,39,-70
12837742,39,-95
12837743,93,-73
12837744,93,-88
12837745,39,-76
12837746,6,-90
12837747,6,-66
12837748,6,-87
12837749,6,-99
12837750,6,-90
12837751,15,-82
12837752,15,-88
12837753,39,-80
12837754,39,-86
12837755,39,-60
12837756,39,-73
12837757,93,-92
12837758,93,-70
12837759,6,-78
12837760,6,-88
12837761,15,-89
12837762,15,-69
12837763,39,-73
12837764,39,-86
12837765,39,-54
12837766,39,-62
12837767,93,-75
12837768,93,-75
12837769,93,-71
12837770,39,-68
12837771,6,-72
12837772,6,-95
12837773,15,-82
12837774,15,-73
12837775,6,-85
12837776,39,-77
12837777,39,-87
12837778,39,-74
12837779,39,-88
12837780,39,-61
12837781,39,-77
12837782,39,-70
12837783,39,-80
12837784,39,-74
12837785,93,-81
12837786,93,-59
12837787,93,-86
12837788,93,-96
12837789,6,-88
12837790,6,-91
12837791,15,-85
12837792,39,-70
12837793,39,-87
12837794,39,-76
12837795,39,-90
